"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","48","test_create_user","tests","Mon Dec 29 18:48:50 UTC 2025","passed","Mon Dec 29 18:48:50 UTC 2025","","test_users","",""
"","42","test_get_user_by_id","tests","Mon Dec 29 18:48:50 UTC 2025","passed","Mon Dec 29 18:48:50 UTC 2025","","test_users","",""
"","50","test_delete_functionality","tests","Mon Dec 29 18:48:50 UTC 2025","passed","Mon Dec 29 18:48:50 UTC 2025","","test_users","",""
"","59","test_user_names[Leanne Graham]","tests","Mon Dec 29 18:48:50 UTC 2025","passed","Mon Dec 29 18:48:50 UTC 2025","","test_users","",""
"","48","test_user_names[Clementine Bauch]","tests","Mon Dec 29 18:48:50 UTC 2025","passed","Mon Dec 29 18:48:50 UTC 2025","","test_users","",""
"","38","test_user_data_contains_id","tests","Mon Dec 29 18:48:50 UTC 2025","passed","Mon Dec 29 18:48:50 UTC 2025","","test_users","",""
"","45","test_get_all_users_status_code","tests","Mon Dec 29 18:48:50 UTC 2025","passed","Mon Dec 29 18:48:50 UTC 2025","","test_users","",""
"","42","test_user_names[Ervin Howell]","tests","Mon Dec 29 18:48:50 UTC 2025","passed","Mon Dec 29 18:48:50 UTC 2025","","test_users","",""
