"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","test_user_model_invalid_data","tests","Mon Dec 29 20:13:37 UTC 2025","passed","Mon Dec 29 20:13:37 UTC 2025","","test_users","",""
"","20","test_create_user_with_invalid_email","tests","Mon Dec 29 20:13:37 UTC 2025","failed","Mon Dec 29 20:13:38 UTC 2025","","test_users","",""
"","23","test_user_names[Ervin Howell]","tests","Mon Dec 29 20:13:37 UTC 2025","passed","Mon Dec 29 20:13:37 UTC 2025","","test_users","",""
"","15","test_get_all_users_status_code","tests","Mon Dec 29 20:13:37 UTC 2025","passed","Mon Dec 29 20:13:37 UTC 2025","","test_users","",""
"","21","test_delete_functionality","tests","Mon Dec 29 20:13:37 UTC 2025","passed","Mon Dec 29 20:13:37 UTC 2025","","test_users","",""
"","14","test_get_user_by_id","tests","Mon Dec 29 20:13:37 UTC 2025","passed","Mon Dec 29 20:13:37 UTC 2025","","test_users","",""
"","16","test_user_data_contains_id","tests","Mon Dec 29 20:13:37 UTC 2025","passed","Mon Dec 29 20:13:37 UTC 2025","","test_users","",""
"","15","test_user_names[Clementine Bauch]","tests","Mon Dec 29 20:13:37 UTC 2025","passed","Mon Dec 29 20:13:37 UTC 2025","","test_users","",""
"","73","test_user_names[Leanne Graham]","tests","Mon Dec 29 20:13:37 UTC 2025","passed","Mon Dec 29 20:13:37 UTC 2025","","test_users","",""
"","20","test_create_user","tests","Mon Dec 29 20:13:37 UTC 2025","passed","Mon Dec 29 20:13:37 UTC 2025","","test_users","",""
