"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","test_get_all_users_status_code","tests","Mon Dec 29 19:01:40 UTC 2025","passed","Mon Dec 29 19:01:40 UTC 2025","","test_users","",""
"","41","test_get_user_by_id","tests","Mon Dec 29 19:01:40 UTC 2025","passed","Mon Dec 29 19:01:40 UTC 2025","","test_users","",""
"","45","test_user_data_contains_id","tests","Mon Dec 29 19:01:40 UTC 2025","passed","Mon Dec 29 19:01:40 UTC 2025","","test_users","",""
"","65","test_create_user","tests","Mon Dec 29 19:01:40 UTC 2025","passed","Mon Dec 29 19:01:40 UTC 2025","","test_users","",""
"","75","test_user_names[Ervin Howell]","tests","Mon Dec 29 19:01:40 UTC 2025","passed","Mon Dec 29 19:01:40 UTC 2025","","test_users","",""
"","57","test_user_names[Leanne Graham]","tests","Mon Dec 29 19:01:40 UTC 2025","passed","Mon Dec 29 19:01:40 UTC 2025","","test_users","",""
"","95","test_delete_functionality","tests","Mon Dec 29 19:01:40 UTC 2025","passed","Mon Dec 29 19:01:41 UTC 2025","","test_users","",""
"","51","test_user_names[Clementine Bauch]","tests","Mon Dec 29 19:01:40 UTC 2025","passed","Mon Dec 29 19:01:40 UTC 2025","","test_users","",""
